model,precision,batch_size,seq_len,latency(ms),memory(MB)
opt-125m,int8-fp32,1,128,8.81,265.21
opt-125m,int8-fp32,2,128,9.15,295.54
opt-125m,int8-fp32,4,128,10.08,353.98
opt-125m,int8-fp32,8,128,12.24,471.67
opt-125m,int8-fp32,16,128,18.17,706.55
opt-125m,int8-fp32,32,128,36.52,1177.82
opt-125m,int8-fp32,1,256,9.15,295.54
opt-125m,int8-fp32,2,256,10.15,353.98
opt-125m,int8-fp32,4,256,12.60,471.17
